customer_id,transaction_volume,avg_transaction_amount,credit_score,employment_status
CUST0096,33,9007.542123505564,420,Full-time
CUST0093,28,7033.4002941676545,826,Contractor
CUST0008,25,8208.666383972168,524,Self-employed
CUST0076,24,8123.179545084636,557,Self-employed
CUST0197,23,5134.6939272673235,645,Part-time
CUST0182,23,8133.122612497081,628,Retired
CUST0068,23,6945.93960438604,342,Retired
CUST0198,22,7603.638180819425,726,Unemployed
CUST0133,22,8527.742298473011,387,Full-time
CUST0177,21,8131.702468145461,486,Unemployed
CUST0172,21,7202.355204990932,608,Self-employed
CUST0123,21,8743.896679106212,321,Unemployed
CUST0052,21,9294.1652570452,549,Contractor
CUST0173,20,6365.538922119141,811,Full-time
CUST0002,20,7315.834005737304,729,Retired
CUST0187,20,6761.632009887695,707,Retired
CUST0199,19,6997.425786068565,715,Part-time
CUST0021,19,8428.306848626387,784,Unemployed
CUST0015,19,7417.949964021382,800,Retired
CUST0153,19,8987.807382684005,677,Full-time
CUST0144,19,8751.999945389596,845,Part-time
CUST0012,19,8314.825805664062,779,Contractor
CUST0178,18,7079.114407009549,504,Full-time
CUST0115,18,7063.2583414713545,793,Part-time
CUST0166,18,6876.556651645236,441,Part-time
CUST0050,18,5405.683251274957,643,Self-employed
CUST0150,17,7369.091193704044,562,Full-time
CUST0057,17,6009.635881311753,441,Retired
CUST0195,17,6657.4158818862015,465,Self-employed
CUST0105,17,6193.915907915901,744,Unemployed
CUST0011,16,7620.410606384277,393,Retired
CUST0073,16,7193.903114318848,582,Self-employed
CUST0107,16,5746.42498588562,484,Retired
CUST0143,16,6490.24619102478,440,Part-time
CUST0046,15,7274.872725423177,427,Unemployed
CUST0049,15,8558.132682291667,752,Contractor
CUST0045,15,8245.730053710937,746,Self-employed
CUST0037,15,6001.1013107299805,452,Full-time
CUST0102,15,7297.005395507813,750,Full-time
CUST0029,15,6271.584627278646,369,Part-time
CUST0098,15,8544.955322265625,724,Self-employed
CUST0083,15,7093.0346537272135,401,Retired
CUST0164,15,8312.19864095052,759,Unemployed
CUST0189,15,6996.925325520833,438,Part-time
CUST0048,14,7459.117793491909,300,Contractor
CUST0148,14,7658.355085100447,705,Retired
CUST0043,14,6553.6529541015625,709,Unemployed
CUST0158,14,7413.270743233817,453,Unemployed
CUST0134,13,6759.2622633713945,637,Retired
CUST0161,13,7531.500806368314,797,Part-time
CUST0157,13,7256.592258746808,642,Unemployed
CUST0028,13,8183.42236328125,358,Unemployed
CUST0109,13,6661.964646559495,461,Self-employed
CUST0062,12,6554.8766682942705,772,Part-time
CUST0019,12,9261.754150390625,535,Retired
CUST0108,12,6418.7833251953125,446,Contractor
CUST0142,12,7411.848317464192,615,Retired
CUST0125,11,7451.9382213245735,448,Self-employed
CUST0169,11,8917.315474076704,383,Part-time
CUST0036,11,7179.810041947799,641,Full-time
CUST0034,11,8093.118140480735,409,Self-employed
CUST0119,11,8926.846391157671,418,Self-employed
CUST0188,11,7135.332697088068,420,Retired
CUST0065,11,6403.6800093217325,784,Part-time
CUST0023,11,5569.449168812145,411,Unemployed
CUST0141,11,7251.8782293146305,520,Contractor
CUST0121,10,5184.279925537109,679,Self-employed
CUST0185,10,8546.271997070313,748,Part-time
CUST0179,10,9421.00188369751,495,Self-employed
CUST0147,10,9150.856030273437,670,Unemployed
CUST0104,10,6566.4019775390625,799,Self-employed
CUST0196,10,6221.8020690917965,581,Part-time
CUST0135,10,6610.643957519531,619,Self-employed
CUST0066,10,7884.72705078125,417,Retired
CUST0090,10,5340.746002197266,752,Retired
CUST0067,9,4926.405524359809,503,Contractor
CUST0089,9,8868.793223910861,534,Full-time
CUST0064,9,9657.395480685764,370,Self-employed
CUST0070,9,9916.932074652777,834,Contractor
CUST0069,9,6015.133287217882,801,Contractor
CUST0013,9,7282.991224500868,414,Unemployed
CUST0099,9,6868.240010579427,795,Part-time
CUST0190,8,7794.879989624023,597,Unemployed
CUST0071,8,9563.778869628906,551,Self-employed
CUST0038,8,9125.212585449219,340,Self-employed
CUST0149,8,9246.248748779297,498,Retired
CUST0014,8,5970.992561340332,408,Retired
CUST0139,8,7271.0624713897705,764,Contractor
CUST0176,8,7800.731225967407,406,Self-employed
CUST0192,8,7453.401260375977,432,Contractor
CUST0026,8,9472.036193847656,688,Full-time
CUST0140,8,6897.8287925720215,461,Full-time
CUST0186,8,6516.852516174316,333,Contractor
CUST0184,8,11661.10009765625,358,Self-employed
CUST0110,7,9447.917162214007,609,Contractor
CUST0193,7,5943.471435546875,375,Contractor
CUST0128,7,6814.951372419085,833,Retired
CUST0181,7,5382.035749162947,676,Unemployed
CUST0086,7,5860.564383370535,530,Contractor
CUST0016,7,6595.168535505022,380,Full-time
CUST0032,7,12931.788504464286,518,Full-time
CUST0084,7,9014.717215401786,460,Retired
CUST0113,7,8503.98277064732,340,Unemployed
CUST0183,7,7316.812831333706,754,Part-time
CUST0175,7,7844.387172154018,781,Contractor
CUST0200,6,8532.363240559896,508,Contractor
CUST0103,6,5720.570007324219,571,Contractor
CUST0077,6,5291.895121256511,795,Part-time
CUST0033,6,7675.919840494792,748,Self-employed
CUST0116,6,5803.721642812093,706,Unemployed
CUST0044,6,7147.781551361084,744,Full-time
CUST0112,6,10144.056844075521,535,Self-employed
CUST0174,5,8916.761962890625,726,Part-time
CUST0078,5,6701.347998046875,314,Part-time
CUST0120,5,5410.964038085937,729,Unemployed
CUST0041,5,6510.9779296875,781,Full-time
CUST0122,5,6118.790118408203,667,Retired
CUST0079,5,8965.719970703125,312,Full-time
CUST0126,5,7401.515966796875,543,Full-time
CUST0136,5,9880.730078125,676,Full-time
CUST0020,5,6363.2080078125,638,Full-time
